"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9799","Pay online is working","","Sat Apr 18 16:30:27 UTC 2026","passed","Sat Apr 18 16:30:37 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormWorks"
"","9847","Pay online is loading","","Sat Apr 18 16:30:17 UTC 2026","passed","Sat Apr 18 16:30:27 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","payOnlineFormLoads"
"","15960","1st picture of the 1st card is loaded","","Sat Apr 18 16:30:17 UTC 2026","passed","Sat Apr 18 16:30:33 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","checkSearchFirstPic"
"","17094","Can start reserving a room","","Sat Apr 18 16:30:31 UTC 2026","passed","Sat Apr 18 16:30:48 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","reserveARoomOpens"
"","1","All the pictures are loaded","","Sat Apr 18 16:30:10 UTC 2026","skipped","Sat Apr 18 16:30:10 UTC 2026","","smokeTests.PositiveNoRetryTests","smokeTests.PositiveNoRetryTests","checkSearchAllPics"
"","15545","Search results via API","","Sat Apr 18 16:30:20 UTC 2026","passed","Sat Apr 18 16:30:36 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","getHTMLWithSearchResults"
"","6669","Booking form is loaded","","Sat Apr 18 16:30:10 UTC 2026","passed","Sat Apr 18 16:30:17 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","openBookingForm"
"","20471","Search results can be opened and displayed","","Sat Apr 18 16:30:10 UTC 2026","passed","Sat Apr 18 16:30:31 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","searchResultsCanBeLoaded"
"","9790","Backend is working","","Sat Apr 18 16:30:10 UTC 2026","passed","Sat Apr 18 16:30:20 UTC 2026","","smokeTests.PositiveAPITests","smokeTests.PositiveAPITests","checkBackend200OK"
"","6944","Main page can be opened and loaded","","Sat Apr 18 16:30:10 UTC 2026","passed","Sat Apr 18 16:30:17 UTC 2026","","smokeTests.PositiveTests","smokeTests.PositiveTests","mainPageCanBeOpenedAndLoaded"
